path pointing sca mjd band
RomanTDS/images/simple_model/R062/35083/Roman_TDS_simple_model_R062_35083_8.fits.gz 35083 8 62455.174 R062
RomanTDS/images/simple_model/R062/41205/Roman_TDS_simple_model_R062_41205_12.fits.gz 41205 12 62535.053 R062
