path pointing sca mjd
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/50102/Roman_TDS_simple_model_R062_50102_2.fits.gz 50102 2 62650.187
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/50487/Roman_TDS_simple_model_R062_50487_8.fits.gz 50487 8 62655.187
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/50871/Roman_TDS_simple_model_R062_50871_11.fits.gz 50871 11 62660.185
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/51256/Roman_TDS_simple_model_R062_51256_4.fits.gz 51256 4 62665.185
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/51635/Roman_TDS_simple_model_R062_51635_17.fits.gz 51635 17 62670.166
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/52015/Roman_TDS_simple_model_R062_52015_14.fits.gz 52015 14 62675.15
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/52020/Roman_TDS_simple_model_R062_52020_1.fits.gz 52020 1 62675.166
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/52395/Roman_TDS_simple_model_R062_52395_18.fits.gz 52395 18 62680.134
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/52400/Roman_TDS_simple_model_R062_52400_2.fits.gz 52400 2 62680.15
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/52780/Roman_TDS_simple_model_R062_52780_12.fits.gz 52780 12 62685.134
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/53160/Roman_TDS_simple_model_R062_53160_15.fits.gz 53160 15 62690.118
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/53540/Roman_TDS_simple_model_R062_53540_18.fits.gz 53540 18 62695.102
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/53920/Roman_TDS_simple_model_R062_53920_17.fits.gz 53920 17 62700.086
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/54300/Roman_TDS_simple_model_R062_54300_16.fits.gz 54300 16 62705.07
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/54305/Roman_TDS_simple_model_R062_54305_15.fits.gz 54305 15 62705.086
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/54685/Roman_TDS_simple_model_R062_54685_14.fits.gz 54685 14 62710.07
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/55065/Roman_TDS_simple_model_R062_55065_11.fits.gz 55065 11 62715.053
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/55440/Roman_TDS_simple_model_R062_55440_8.fits.gz 55440 8 62720.021
/global/cfs/cdirs/lsst/shared/external/roman-desc-sims/Roman_data/RomanTDS/images/simple_model/R062/55445/Roman_TDS_simple_model_R062_55445_3.fits.gz 55445 3 62720.037
